Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
K0026,K0026/Scope_2025_05_08_15_23_41,2.765,0.5,0.275,125.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_26_40,0.675,0.5,0.125,175.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_29_44,1.107,0.5,0.175,175.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_35_40,1.734,0.5,0.225,175.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_38_33,2.739,0.5,0.275,175.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_41_40,0.684,0.5,0.125,225.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_44_21,1.158,0.5,0.175,225.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_47_00,1.778,0.5,0.225,225.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_49_44,2.715,0.5,0.275,225.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_52_39,0.632,0.5,0.125,275.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_55_21,0.966,0.5,0.175,275.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_58_50,1.758,0.5,0.225,275.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_16_01_56,2.728,0.5,0.275,275.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_11_40_41,0.445,0.5,0.1,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_11_48_35,0.857,0.5,0.15,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_11_51_41,1.391,0.5,0.2,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_11_54_36,2.352,0.5,0.25,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_11_57_27,3.555,0.5,0.3,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_12_00_34,0.491,0.5,0.1,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_12_04_04,0.892,0.5,0.15,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_12_06_58,1.434,0.5,0.2,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_12_10_32,2.317,0.5,0.25,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_12_13_15,3.572,0.5,0.3,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_12_55_38,0.549,0.5,0.1,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_00_53,0.841,0.5,0.15,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_04_00,1.375,0.5,0.2,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_07_07,2.289,0.5,0.25,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_10_37,3.626,0.5,0.3,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_14_57,0.406,0.5,0.1,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_18_16,0.81,0.5,0.15,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_21_04,1.383,0.5,0.2,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_23_44,2.281,0.5,0.25,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_09_11_13_26_46,3.532,0.5,0.3,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_11_11_16_13_46,0.445,0.99,0.11,140.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_11_11_16_16_20,0.676,0.81,0.15,280.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_11_11_16_18_54,2.967,0.63,0.28,130.0,EN AW-6082,DNMG150608
